foid,flid,oid,height,width,ocr
210,42,4,101.6808013916,65.36116027832,
211,42,4,99.531829833984,53.642074584961,
212,42,4,84.969787597656,57.544494628906,
213,42,97,63.759765625,63.472045898438,
214,43,46,186.15618896484,358.68402099609,
215,43,83,102.94062805176,56.731323242188,
216,43,83,116.12335205078,63.817077636719,
217,44,28,202.88873291016,172.3528137207,
218,44,75,177.92083740234,195.28115844727,
219,44,75,81.58935546875,152.57971191406,
220,44,75,195.81002807617,212.45166015625,
221,45,92,199.97552490234,155.6499786377,
222,45,92,116.62997436523,80.805480957031,
223,45,92,119.7756652832,94.680969238281,
224,46,75,89.642440795898,115.29345703125,
225,46,91,42.804565429688,69.012817382812,90
226,46,91,34.747146606445,68.486602783203,
227,46,91,42.354095458984,72.313293457031,"go
10"
228,46,91,37.754776000977,68.240875244141,10
229,46,91,34.385513305664,71.103607177734,
230,46,93,33.694046020508,96.696166992188,
231,46,93,33.348190307617,94.64501953125,
232,46,94,46.069137573242,64.609130859375,
233,46,94,49.247619628906,55.107513427734,
234,46,94,42.250564575195,72.327514648438,
235,46,94,39.821655273438,62.949737548828,
236,47,10,138.3431854248,312.37890625,
237,47,10,158.4469909668,307.24374389648,
238,47,10,157.47872924805,346.78472900391,
239,47,10,186.98739624023,318.88720703125,
240,47,75,123.35327148438,138.83297729492,
241,47,75,139.95629882812,212.38516235352,
242,47,75,96.951477050781,161.82431030273,
243,48,76,137.17541503906,75.203186035156,
244,48,76,127.57080078125,68.354522705078,
245,49,21,209.79531860352,355.69924926758,
246,50,3,151.47161865234,95.874618530273,
247,50,3,135.93264770508,83.328155517578,
248,50,69,75.926910400391,88.688583374023,A
249,50,77,127.95755004883,110.85919189453,
250,50,77,219.23822021484,146.44720458984,
251,51,77,199.81188964844,149.36727905273,
252,51,77,294.58554077148,150.58648681641,
253,51,77,129.46667480469,106.34481811523,
254,52,30,148.15866088867,128.05966186523,
255,52,30,108.58941650391,125.42492675781,
256,52,91,33.705917358398,46.523254394531,
257,52,91,38.906875610352,37.107238769531,
258,52,94,33.636322021484,48.08251953125,
259,53,70,75.797210693359,114.32498168945,
260,53,70,80.065399169922,109.14584350586,
261,53,70,149.81500244141,132.17678833008,
262,53,70,67.41162109375,133.39981079102,
263,53,70,92.199798583984,111.22393798828,
264,53,77,254.51361083984,217.50122070312,
265,54,13,141.63897705078,122.46893310547,
266,55,3,169.64123535156,72.273559570312,
267,55,3,86.760437011719,73.204528808594,
268,55,3,176.1474609375,103.11650085449,
269,55,18,54.408111572266,128.99496459961,
270,55,18,80.099700927734,90.177642822266,
271,55,18,73.624725341797,89.761444091797,
